"SubID","Decision","Speed","Question","Response"
"103","moral","Quick","MC2",7
"103","moral","Slow","MC2",2
"104","moral","Quick","MC2",7
"104","moral","Slow","MC2",1
"105","moral","Quick","MC2",6
"105","moral","Slow","MC2",2
"106","immoral","Quick","MC2",7
"106","immoral","Slow","MC2",2
"107","moral","Quick","MC2",7
"107","moral","Slow","MC2",1
"108","moral","Quick","MC2",7
"108","moral","Slow","MC2",1
"109","immoral","Quick","MC2",7
"109","immoral","Slow","MC2",2
"110","immoral","Quick","MC2",6
"110","immoral","Slow","MC2",2
"111","immoral","Quick","MC2",7
"111","immoral","Slow","MC2",1
"112","immoral","Quick","MC2",6
"112","immoral","Slow","MC2",2
"113","moral","Quick","MC2",7
"113","moral","Slow","MC2",1
"114","moral","Quick","MC2",6
"114","moral","Slow","MC2",1
"115","immoral","Quick","MC2",7
"115","immoral","Slow","MC2",1
"116","immoral","Quick","MC2",6
"116","immoral","Slow","MC2",2
"117","moral","Quick","MC2",6
"117","moral","Slow","MC2",2
"118","moral","Quick","MC2",7
"118","moral","Slow","MC2",1
"119","immoral","Quick","MC2",7
"119","immoral","Slow","MC2",1
"1","immoral","Quick","C1",7
"1","immoral","Slow","C1",1
"2","moral","Quick","C1",6
"2","moral","Slow","C1",2
"3","moral","Quick","C1",7
"3","moral","Slow","C1",3
"4","immoral","Quick","C1",7
"4","immoral","Slow","C1",1
"5","moral","Quick","C1",6
"5","moral","Slow","C1",3
"6","immoral","Quick","C1",7
"6","immoral","Slow","C1",1
"7","immoral","Quick","C1",1
"7","immoral","Slow","C1",2
"8","immoral","Quick","C1",7
"8","immoral","Slow","C1",1
"9","moral","Quick","C1",7
"9","moral","Slow","C1",1
"10","immoral","Quick","C1",6
"10","immoral","Slow","C1",2
"11","moral","Quick","C1",6
"11","moral","Slow","C1",1
"12","immoral","Quick","C1",7
"12","immoral","Slow","C1",1
"13","immoral","Quick","C1",7
"13","immoral","Slow","C1",1
"14","moral","Quick","C1",6
"14","moral","Slow","C1",3
"15","moral","Quick","C1",6
"15","moral","Slow","C1",2
"16","moral","Quick","C1",7
"16","moral","Slow","C1",2
"17","moral","Quick","C1",6
"17","moral","Slow","C1",2
"18","moral","Quick","C1",7
"18","moral","Slow","C1",1
"19","immoral","Quick","C1",7
"19","immoral","Slow","C1",1
"20","moral","Quick","C1",7
"20","moral","Slow","C1",2
"21","moral","Quick","C1",3
"21","moral","Slow","C1",6
"22","immoral","Quick","C1",7
"22","immoral","Slow","C1",2
"23","immoral","Quick","C1",6
"23","immoral","Slow","C1",1
"24","immoral","Quick","C1",7
"24","immoral","Slow","C1",2
"25","moral","Quick","C1",7
"25","moral","Slow","C1",2
"26","moral","Quick","C1",6
"26","moral","Slow","C1",1
"27","moral","Quick","C1",5
"27","moral","Slow","C1",2
"28","immoral","Quick","C1",2
"28","immoral","Slow","C1",1
"29","moral","Quick","C1",5
"29","moral","Slow","C1",3
"30","immoral","Quick","C1",7
"30","immoral","Slow","C1",1
"31","immoral","Quick","C1",7
"31","immoral","Slow","C1",2
"32","immoral","Quick","C1",6
"32","immoral","Slow","C1",1
"33","immoral","Quick","C1",7
"33","immoral","Slow","C1",2
"34","moral","Quick","C1",7
"34","moral","Slow","C1",1
"35","moral","Quick","C1",3
"35","moral","Slow","C1",2
"36","immoral","Quick","C1",7
"36","immoral","Slow","C1",1
"37","immoral","Quick","C1",7
"37","immoral","Slow","C1",1
"38","immoral","Quick","C1",7
"38","immoral","Slow","C1",2
"39","immoral","Quick","C1",6
"39","immoral","Slow","C1",3
"40","moral","Quick","C1",7
"40","moral","Slow","C1",1
"41","immoral","Quick","C1",7
"41","immoral","Slow","C1",1
"42","immoral","Quick","C1",5
"42","immoral","Slow","C1",5
"43","immoral","Quick","C1",7
"43","immoral","Slow","C1",1
"44","immoral","Quick","C1",5
"44","immoral","Slow","C1",1
"45","moral","Quick","C1",7
"45","moral","Slow","C1",1
"46","immoral","Quick","C1",7
"46","immoral","Slow","C1",3
"47","moral","Quick","C1",7
"47","moral","Slow","C1",2
"48","moral","Quick","C1",7
"48","moral","Slow","C1",2
"49","immoral","Quick","C1",6
"49","immoral","Slow","C1",2
"50","moral","Quick","C1",7
"50","moral","Slow","C1",2
"51","immoral","Quick","C1",6
"51","immoral","Slow","C1",3
"52","immoral","Quick","C1",7
"52","immoral","Slow","C1",3
"53","immoral","Quick","C1",7
"53","immoral","Slow","C1",4
"54","immoral","Quick","C1",7
"54","immoral","Slow","C1",3
"55","immoral","Quick","C1",7
"55","immoral","Slow","C1",1
"56","immoral","Quick","C1",7
"56","immoral","Slow","C1",1
"57","moral","Quick","C1",6
"57","moral","Slow","C1",2
"58","moral","Quick","C1",7
"58","moral","Slow","C1",2
"59","moral","Quick","C1",5
"59","moral","Slow","C1",3
"60","immoral","Quick","C1",6
"60","immoral","Slow","C1",1
"61","immoral","Quick","C1",7
"61","immoral","Slow","C1",2
"62","moral","Quick","C1",7
"62","moral","Slow","C1",3
"63","immoral","Quick","C1",7
"63","immoral","Slow","C1",1
"64","moral","Quick","C1",7
"64","moral","Slow","C1",1
"65","moral","Quick","C1",7
"65","moral","Slow","C1",2
"66","immoral","Quick","C1",7
"66","immoral","Slow","C1",1
"67","immoral","Quick","C1",7
"67","immoral","Slow","C1",2
"68","immoral","Quick","C1",7
"68","immoral","Slow","C1",1
"69","immoral","Quick","C1",7
"69","immoral","Slow","C1",3
"70","moral","Quick","C1",7
"70","moral","Slow","C1",1
"71","moral","Quick","C1",4
"71","moral","Slow","C1",5
"72","moral","Quick","C1",7
"72","moral","Slow","C1",2
"73","immoral","Quick","C1",6
"73","immoral","Slow","C1",3
"74","immoral","Quick","C1",6
"74","immoral","Slow","C1",2
"75","immoral","Quick","C1",7
"75","immoral","Slow","C1",1
"76","immoral","Quick","C1",6
"76","immoral","Slow","C1",2
"77","moral","Quick","C1",7
"77","moral","Slow","C1",2
"78","immoral","Quick","C1",7
"78","immoral","Slow","C1",2
"79","moral","Quick","C1",7
"79","moral","Slow","C1",2
"80","immoral","Quick","C1",7
"80","immoral","Slow","C1",2
"81","moral","Quick","C1",7
"81","moral","Slow","C1",1
"82","immoral","Quick","C1",6
"82","immoral","Slow","C1",4
"83","moral","Quick","C1",7
"83","moral","Slow","C1",1
"84","moral","Quick","C1",7
"84","moral","Slow","C1",1
"85","moral","Quick","C1",6
"85","moral","Slow","C1",2
"86","immoral","Quick","C1",7
"86","immoral","Slow","C1",1
"87","moral","Quick","C1",6
"87","moral","Slow","C1",2
"88","moral","Quick","C1",6
"88","moral","Slow","C1",2
"89","immoral","Quick","C1",6
"89","immoral","Slow","C1",1
"90","immoral","Quick","C1",7
"90","immoral","Slow","C1",3
"91","immoral","Quick","C1",6
"91","immoral","Slow","C1",1
"92","moral","Quick","C1",6
"92","moral","Slow","C1",2
"93","moral","Quick","C1",6
"93","moral","Slow","C1",6
"94","moral","Quick","C1",6
"94","moral","Slow","C1",2
"95","moral","Quick","C1",5
"95","moral","Slow","C1",5
"96","immoral","Quick","C1",7
"96","immoral","Slow","C1",2
"97","immoral","Quick","C1",7
"97","immoral","Slow","C1",6
"98","moral","Quick","C1",6
"98","moral","Slow","C1",2
"99","moral","Quick","C1",7
"99","moral","Slow","C1",1
"100","immoral","Quick","C1",7
"100","immoral","Slow","C1",1
"101","immoral","Quick","C1",6
"101","immoral","Slow","C1",2
"102","moral","Quick","C1",6
"102","moral","Slow","C1",4
"103","moral","Quick","C1",7
"103","moral","Slow","C1",3
"104","moral","Quick","C1",7
"104","moral","Slow","C1",2
"105","moral","Quick","C1",6
"105","moral","Slow","C1",3
"106","immoral","Quick","C1",6
"106","immoral","Slow","C1",2
"107","moral","Quick","C1",7
"107","moral","Slow","C1",2
"108","moral","Quick","C1",7
"108","moral","Slow","C1",1
